,bioprocess_count,genes_related
PATHOGENESIS,71,"['TGFB1', 'ELANE', 'SCNN1B', 'TNF', 'MUC5B', 'CA2', 'CXCL8', 'LEP', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'BPI', 'IFNA1', 'PTH', 'CXCR2', 'AKT1', 'MUC5AC', 'SLURP1', 'MPO', 'IL2', 'IL4', 'IL5', 'NR3C1', 'PRTN3', 'TTR', 'PI3', 'CRP', 'SLC26A4', 'REN', 'EGFR', 'ALB', 'NOD2', 'NOS2', 'SMAD3', 'IL6', 'TP53', 'TH', 'CD4', 'FOS', 'MMP9', 'AR', 'RELA', 'PTGS2', 'STAT3', 'CISH', 'PIK3CA', 'MAPK3', 'GPI', 'CP', 'BCL2', 'MTOR', 'EGF', 'HGS', 'ITGAM', 'CD44', 'GC', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'BBS9', 'PGR', 'APOB', 'KIT', 'HIF1A', 'TG', 'ACE', 'PTEN']"
INNATE IMMUNE RESPONSE,71,"['CAMP', 'CAMP', 'SLPI', 'SLPI', 'TNF', 'IL1B', 'CXCL8', 'TLR4', 'TLR4', 'INS', 'TLR5', 'TLR5', 'CCL2', 'BPI', 'IFNA1', 'PTH', 'DEFB1', 'DEFB1', 'GSN', 'AKT1', 'CTSG', 'AHSA1', 'MPO', 'IL2', 'IL4', 'IL5', 'NR3C1', 'PI3', 'PI3', 'CRP', 'CRP', 'SLC26A4', 'LY96', 'LY96', 'PPARG', 'PPARG', 'NOD2', 'NOD2', 'NOD2', 'NOS2', 'NLRP3', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'SOD1', 'MAPK8', 'CDKN1A', 'RELA', 'PTGS2', 'STAT3', 'IL10', 'PIK3CA', 'BCL2', 'ITGAM', 'ITGAM', 'CD44', 'TCEAL1', 'PSMB6', 'CTLA4', 'PPIB', 'SOD2', 'BBS9', 'PGR', 'APOB', 'KIT', 'TG', 'PTEN']"
GO:0016265,66,"['TNFRSF1A', 'TNF', 'IL1B', 'CA2', 'CXCL8', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'IFNA1', 'AKT1', 'SLURP1', 'AHSA1', 'IL2', 'IL4', 'NR3C1', 'TTR', 'C3', 'CRP', 'LPO', 'SLC12A2', 'SLC26A4', 'EGFR', 'ALB', 'NOD2', 'NOS2', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'AR', 'MAPK8', 'CDKN1A', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'PIK3CA', 'MAPK3', 'CP', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'EGF', 'HGS', 'SST', 'CD40', 'AHR', 'TCEAL1', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'BBS9', 'KIT', 'TG', 'PTEN']"
ANGIOGENESIS,66,"['TNF', 'CXCR1', 'CXCL8', 'CXCL8', 'LEP', 'LEP', 'TLR4', 'INS', 'CCL2', 'CCL2', 'IFNA1', 'CXCR2', 'GSN', 'SERPINA1', 'AKT1', 'AHSA1', 'TIMP1', 'IL2', 'IL4', 'IL5', 'TTR', 'PI3', 'SLC26A4', 'REN', 'EGFR', 'NOD2', 'F2', 'NOS2', 'IL6', 'VEGFA', 'VEGFA', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'MMP9', 'MAPK8', 'PTGS2', 'PTGS2', 'STAT3', 'IL10', 'CISH', 'MMP2', 'MMP2', 'PIK3CA', 'PIK3CA', 'MAPK3', 'PTS', 'CASP3', 'BCL2', 'MTOR', 'EGF', 'EGF', 'CCND1', 'HGS', 'SST', 'PSMB6', 'CTLA4', 'PPIB', 'PGR', 'KIT', 'HIF1A', 'HIF1A', 'PTEN']"
PIGMENTATION,64,"['CFTR', 'TNF', 'IL1B', 'CA2', 'CXCL8', 'INS', 'CCL2', 'CAT', 'IFNA1', 'DEFB1', 'DEFB4A', 'SERPINA1', 'MUC4', 'AKT1', 'SCT', 'CTSG', 'AHSA1', 'IL4', 'IL5', 'TTR', 'C3', 'KCNN4', 'REN', 'ALB', 'NOD2', 'ABCC8', 'NLRP3', 'IL6', 'TH', 'TH', 'FOS', 'POMC', 'CDKN1A', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'CISH', 'PIK3CA', 'GPI', 'MCOLN1', 'CP', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'ABCB1', 'HGS', 'SST', 'CD44', 'TCEAL1', 'GC', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'IFNG', 'BBS9', 'PGR', 'KIT', 'KIT', 'TG']"
EXOGEN,63,"['CAMP', 'ELANE', 'SLPI', 'TNF', 'IL1B', 'CA2', 'CXCL8', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'BPI', 'IFNA1', 'VIP', 'AKT1', 'SLURP1', 'AHSA1', 'IL2', 'IL4', 'IL5', 'TTR', 'C3', 'SLC26A4', 'EGFR', 'LY96', 'ALB', 'NOD2', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'AR', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'MMP2', 'PTS', 'CP', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'EGF', 'CCND1', 'ABCB1', 'HGS', 'CD40', 'AHR', 'GC', 'CTLA4', 'CREBBP', 'PPIB', 'PGR', 'KIT', 'HIF1A', 'TG', 'PTEN']"
ACTIVATION OF GLOBAL TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,62,"['TGFB1', 'TNFRSF1A', 'TNFRSF1A', 'TNF', 'TNF', 'TNF', 'TNF', 'IL1B', 'TLR4', 'PTH', 'AKT1', 'IL2', 'IL4', 'NR3C1', 'NR3C1', 'EGFR', 'PPARG', 'PPARG', 'PPARG', 'NOD2', 'SMAD3', 'SMAD3', 'SMAD3', 'SMAD3', 'NLRP3', 'IL6', 'IL6', 'VEGFA', 'VEGFA', 'TP53', 'TP53', 'TP53', 'FOS', 'FOS', 'FOS', 'POMC', 'AR', 'AR', 'ESR1', 'RELA', 'RELA', 'RELA', 'RELA', 'RELA', 'STAT3', 'STAT3', 'STAT3', 'STAT3', 'MAPK3', 'PPARA', 'PPARA', 'PPARA', 'CD40', 'CD40', 'AHR', 'CREBBP', 'CREBBP', 'CREBBP', 'PGR', 'HIF1A', 'HIF1A', 'HIF1A']"
ACCIDENTAL CELL DEATH,55,"['TGFB1', 'TNF', 'IL1B', 'CA2', 'TLR4', 'INS', 'FAS', 'CAT', 'IFNA1', 'GSN', 'AKT1', 'SCT', 'AHSA1', 'IL4', 'NR3C1', 'PI3', 'C3', 'DNAH5', 'SLC26A4', 'EGFR', 'NOD2', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'MMP9', 'MAPK8', 'CDKN1A', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'MMP2', 'PIK3CA', 'MAPK3', 'CP', 'CASP3', 'BCL2', 'MTOR', 'EGF', 'CCND1', 'HGS', 'CD40', 'TCEAL1', 'PSMB6', 'CTLA4', 'PPIB', 'BBS9', 'PGR', 'TG', 'PTEN']"
NEURAL TUBE FORMATION,55,"['ELANE', 'TNF', 'CA2', 'LEP', 'TLR4', 'INS', 'CAT', 'IFNA1', 'AKT1', 'SLURP1', 'MAL', 'SCT', 'AHSA1', 'NR3C1', 'TTR', 'PI3', 'C3', 'LPO', 'DNAH5', 'SLC26A4', 'EGFR', 'NOD2', 'F2', 'NOS2', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'MMP9', 'AR', 'MAPK8', 'CDKN1A', 'IL10', 'CISH', 'MMP2', 'PIK3CA', 'CP', 'CASP3', 'BCL2', 'MTOR', 'EGF', 'HGS', 'SST', 'TCEAL1', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'PGR', 'KIT', 'HIF1A']"
ALVEOLARIZATION,53,"['TGFB1', 'SCNN1B', 'TNF', 'IL1B', 'CXCL8', 'TLR4', 'FAS', 'CCL2', 'CAT', 'IFNA1', 'SERPINA1', 'AKT1', 'SLURP1', 'MAL', 'AHSA1', 'MPO', 'IL4', 'IL5', 'NR3C1', 'TTR', 'CRP', 'SLC26A4', 'EGFR', 'LY96', 'AQP5', 'ALB', 'NOD2', 'NLRP3', 'IL6', 'TH', 'CD4', 'AR', 'MAPK8', 'BAX', 'IL10', 'CISH', 'PIK3CA', 'CASP3', 'BCL2', 'EGF', 'HGS', 'ITGAM', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'IFNG', 'BBS9', 'PGR', 'KIT', 'HIF1A', 'TG', 'ACE']"
TRANSDUCTION,53,"['SLPI', 'TNF', 'CA2', 'LEP', 'TLR4', 'INS', 'CAT', 'IFNA1', 'AKT1', 'SLURP1', 'AHSA1', 'TIMP1', 'MPO', 'IL4', 'IL5', 'TTR', 'PI3', 'DNAH5', 'SLC26A4', 'LY96', 'AQP5', 'ALB', 'NOD2', 'NOS2', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'SOD1', 'AR', 'MAPK8', 'STAT3', 'IL10', 'CISH', 'MUC7', 'PIK3CA', 'MAPK3', 'BCL2', 'MTOR', 'EGF', 'CCND1', 'ITGAM', 'CD40', 'CD44', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'KIT', 'TG']"
DIGESTION,53,"['TNF', 'CA2', 'ANO1', 'INS', 'FAS', 'CAT', 'PTH', 'SPINK1', 'HP', 'AKT1', 'AHSA1', 'IL2', 'IL5', 'TTR', 'PI3', 'C3', 'GUCY2C', 'SLC26A4', 'REN', 'ALB', 'NOD2', 'ABCC8', 'F2', 'PRSS1', 'MAPK1', 'TH', 'MMP9', 'AR', 'MAPK8', 'RELA', 'CISH', 'MUC7', 'MMP2', 'PTS', 'CP', 'MTOR', 'HGS', 'ITGAM', 'SST', 'SST', 'CD44', 'GC', 'CCK', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'BBS9', 'KIT', 'TG', 'ACE']"
CELL ADHESION,52,"['TGFB1', 'TNF', 'CA2', 'CXCL8', 'TLR4', 'INS', 'FAS', 'CCL2', 'CCL2', 'IFNA1', 'AKT1', 'SLURP1', 'CTSG', 'AHSA1', 'IL2', 'IL4', 'IL5', 'C3', 'CRP', 'SLC26A4', 'REN', 'EGFR', 'PPARG', 'ALB', 'NOD2', 'IL6', 'VEGFA', 'TP53', 'TH', 'CD4', 'CD4', 'MMP9', 'MAPK8', 'PTGS2', 'STAT3', 'IL10', 'PIK3CA', 'EGF', 'PPARA', 'HGS', 'ITGAM', 'ITGAM', 'AHR', 'CD44', 'CD44', 'CD44', 'CTLA4', 'SLC17A5', 'PPIB', 'KIT', 'HIF1A', 'PTEN']"
POSITIVE REGULATION OF GENE EXPRESSION,52,"['TGFB1', 'TGFB1', 'TGFB1', 'TGFB1', 'TNF', 'TNF', 'TNF', 'TNF', 'IL1B', 'IL1B', 'IL1B', 'CXCL8', 'SLC26A9', 'TLR4', 'TLR4', 'INS', 'GSN', 'AKT1', 'AKT1', 'HFE', 'IL4', 'IL4', 'CRP', 'SMAD3', 'IL6', 'IL6', 'IL6', 'VEGFA', 'TP53', 'TP53', 'TP53', 'MAPK1', 'AR', 'AR', 'MAPK8', 'STAT3', 'STAT3', 'MAPK3', 'MTOR', 'EGF', 'HGS', 'PPIB', 'IFNG', 'IFNG', 'IFNG', 'IFNG', 'IFNG', 'APOB', 'KIT', 'HIF1A', 'HIF1A', 'PTEN']"
AUTOPHAGY,52,"['SLPI', 'TNF', 'CA2', 'CXCL8', 'TLR4', 'INS', 'CAT', 'IFNA1', 'AKT1', 'SLURP1', 'AHSA1', 'IL2', 'IL4', 'PI3', 'SLC26A4', 'PPARG', 'NOD2', 'NLRP3', 'IL6', 'TP53', 'TP53', 'MAPK1', 'TH', 'CD4', 'MMP9', 'AR', 'MAPK8', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'CISH', 'MMP2', 'PIK3CA', 'MAPK3', 'MCOLN1', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'CCND1', 'PPARA', 'HGS', 'HGS', 'PSMB6', 'CTLA4', 'PPIB', 'SOD2', 'PGR', 'HIF1A', 'PTEN']"
LACTATION,51,"['ELANE', 'SLPI', 'TNF', 'CA2', 'CXCL8', 'INS', 'FAS', 'CAT', 'IFNA1', 'HP', 'AKT1', 'IL2', 'TTR', 'C3', 'CRP', 'LPO', 'SLC26A4', 'ALB', 'NOD2', 'F2', 'NOS2', 'NLRP3', 'VEGFA', 'TH', 'CD4', 'SOD1', 'MMP9', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'MUC7', 'PIK3CA', 'BCL2', 'MTOR', 'CCND1', 'PPARA', 'G6PD', 'HGS', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'PGR', 'HIF1A', 'HIF1A', 'TG']"
CELL CYCLE,51,"['CA2', 'INS', 'CAT', 'IFNA1', 'AKT1', 'AHSA1', 'IL2', 'IL5', 'NR3C1', 'DNAH5', 'EGFR', 'PPARG', 'NOD2', 'IL6', 'TP53', 'MAPK1', 'MAPK1', 'FOS', 'AR', 'MAPK8', 'CDKN1A', 'ESR1', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'PIK3CA', 'MAPK3', 'MAPK3', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'EGF', 'CCND1', 'PPARA', 'HGS', 'AHR', 'CD44', 'TCEAL1', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'PGR', 'KIT', 'HIF1A', 'PTEN']"
CELL DIFFERENTIATION,50,"['CAMP', 'TNF', 'IL1B', 'INS', 'IFNA1', 'PTH', 'DEFB1', 'DEFB4A', 'AKT1', 'AKT1', 'MAL', 'TIMP1', 'IL2', 'IL4', 'IL5', 'EGFR', 'EGFR', 'PPARG', 'AQP5', 'NOD2', 'NOS2', 'SMAD3', 'IL6', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'AR', 'CDKN1A', 'RELA', 'IL10', 'PIK3CA', 'BCL2', 'MTOR', 'EGF', 'PPARA', 'HGS', 'ITGAM', 'SST', 'CD40', 'TCEAL1', 'PSMB6', 'CTLA4', 'PPIB', 'KIT', 'HIF1A', 'TG']"
AGEING,50,"['TNF', 'CA2', 'CXCL8', 'LEP', 'INS', 'FAS', 'CCL2', 'CAT', 'CAT', 'IFNA1', 'GSN', 'AKT1', 'SLURP1', 'TIMP1', 'MPO', 'TTR', 'SLC12A2', 'SLC26A4', 'EGFR', 'NOD2', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'FOS', 'AR', 'CDKN1A', 'RELA', 'PTGS2', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'PIK3CA', 'MAPK3', 'CASP3', 'BCL2', 'MTOR', 'EGF', 'HGS', 'GSR', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'SOD2', 'PTEN', 'PTEN']"
