,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
ESR2,0,0,450,352,['DIARRHEA'],1,1,0,2043
ATM,0,0,449,1016,"['ABNORMAL LIVER ENZYMES', 'FATIGUE', 'ANOREXIA', 'DIARRHEA']",4,4,230,3707
PTH,0,0,447,908,"['HEADACHE', 'HEADACHE', 'ANOREXIA', 'FATIGUE', 'NAUSEA']",5,4,2,4705
ICAM1,1,0,445,310,['DIARRHEA'],1,1,0,1960
ANG,0,0,440,554,"['FATIGUE', 'DIARRHEA']",2,2,0,2525
GRK2,0,0,438,1579,"['DIARRHEA', 'DIARRHEA', 'HEADACHE', 'HEADACHE', 'HEADACHE', 'COUGHING', 'COUGHING', 'FATIGUE', 'FATIGUE']",9,4,15,4431
CD79A,0,0,434,974,"['DIARRHEA', 'COUGH', 'FATIGUE', 'DIARRHEA', 'DIARRHEA']",5,3,4,2629
CDKN2A,0,0,434,1076,"['FATIGUE', 'DIARRHEA']",2,2,1,4888
REN,1,0,430,1197,['DIARRHEA'],1,1,0,5583
EGF,0,0,422,559,['HEADACHE'],1,1,0,3682
CREBBP,0,0,422,502,"['BREATHING DIFFICULTIES', 'DIARRHEA']",2,2,3,3958
IL13,1,0,417,311,"['DIARRHEA', 'DIARRHEA']",2,1,0,2005
CCR2,0,0,417,457,['DIARRHEA'],1,1,0,2443
BRCA1,0,0,414,651,"['DECREASED BLOOD LEUKOCYTE NUMBER', 'DIARRHEA']",2,2,0,3022
HMGB1,1,0,408,518,['DIARRHEA'],1,1,0,1948
TNFRSF1A,0,0,399,716,"['DIARRHEA', 'MUSCLE ACHE', 'ANOREXIA', 'DIARRHEA']",4,3,0,1785
CTLA4,0,0,399,242,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA']",3,1,1,3391
CD28,0,0,398,652,['DIARRHEA'],1,1,0,1965
TLR7,1,0,398,466,['DIARRHEA'],1,1,0,1429
BAX,0,0,397,2076,['DIARRHEA'],1,1,0,5178
RHO,0,0,397,816,"['ANOREXIA', 'ANOREXIA', 'DIARRHEA']",3,2,1,4318
HGS,0,0,396,562,"['ANOREXIA', 'DIARRHEA', 'DIARRHEA']",3,2,2,3759
LOX,0,0,396,525,['COUGHING UP BLOOD'],1,1,0,2569
IGHE,0,0,394,2204,"['COUGHING', 'DIARRHEA']",2,2,4,3111
MAPT,0,0,393,1049,"['BREATHING DIFFICULTIES', 'DIARRHEA']",2,2,0,5774
PTPRC,0,0,393,448,"['DIARRHEA', 'DIARRHEA']",2,1,0,1900
PPARA,0,0,390,558,"['NAUSEA', 'DIARRHEA', 'DIARRHEA']",3,2,2,3462
PIK3CB,0,0,388,837,['DIARRHEA'],1,1,0,4242
PTGS2,0,0,386,420,['DIARRHEA'],1,1,0,4746
CCND1,0,0,386,797,"['FATIGUE', 'ANOREXIA', 'FATIGUE', 'DIARRHEA']",4,3,1,5151
SYK,0,0,384,420,['DIARRHEA'],1,1,0,3496
HSPA9,0,0,384,535,['DIARRHEA'],1,1,0,2027
PPIB,1,0,381,121,"['DIARRHEA', 'DIARRHEA']",2,1,0,8640
CXCL10,1,0,379,211,['DIARRHEA'],1,1,0,1649
PPARG,1,0,378,433,"['MUSCLE ACHE', 'ABNORMAL LIVER ENZYMES', 'DIARRHEA']",3,3,0,3570
AHSA1,0,0,377,803,['DIARRHEA'],1,1,0,4246
GPI,0,0,376,658,"['HEADACHE', 'FATIGUE', 'DIARRHEA']",3,3,3,3194
RHOA,0,0,376,615,['DIARRHEA'],1,1,0,3727
BCR,0,0,375,515,"['FATIGUE', 'DIARRHEA']",2,2,0,2927
HIF1A,0,0,375,729,['DIARRHEA'],1,1,0,2581
STAT1,1,0,374,349,"['DIARRHEA', 'DIARRHEA']",2,1,0,1706
HSPA5,1,0,374,535,['DIARRHEA'],1,1,0,1945
ISG20,0,0,372,833,['DIARRHEA'],1,1,0,2277
STAT6,0,0,372,369,"['DIARRHEA', 'DIARRHEA']",2,1,0,1858
IRF3,1,0,370,517,['DIARRHEA'],1,1,0,1479
SQSTM1,0,0,368,610,"['FATIGUE', 'DIARRHEA']",2,2,0,2319
CP,0,0,368,426,['DIARRHEA'],1,1,0,2682
CREB1,0,0,368,633,['ANOREXIA'],1,1,1,3386
APEX1,0,0,367,469,['DIARRHEA'],1,1,0,2170
SOCS3,0,0,366,514,['DIARRHEA'],1,1,0,1703
IL1B,1,0,362,247,"['DIARRHEA', 'DIARRHEA', 'ANOREXIA']",3,2,0,1910
EPO,0,0,361,578,"['FATIGUE', 'DIARRHEA']",2,2,0,2296
HSPB1,0,0,359,471,['DIARRHEA'],1,1,0,1918
ADA,0,0,359,555,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA']",3,1,34,2226
TCEAL1,0,0,357,1271,['DIARRHEA'],1,1,0,6080
HLA-E,0,0,355,705,"['FATIGUE', 'DIARRHEA']",2,2,1,2038
TNFRSF10B,0,0,355,872,"['HEADACHE', 'DIARRHEA']",2,2,1,2356
VCAM1,0,0,354,245,['DIARRHEA'],1,1,0,1212
EGR1,0,0,353,531,['DIARRHEA'],1,1,0,2596
CSF2,1,0,352,194,['DIARRHEA'],1,1,0,1413
CD34,0,0,350,408,['DIARRHEA'],1,1,0,2421
CTNNB1,0,0,349,362,"['ABNORMAL LIVER ENZYMES', 'HEADACHE', 'FATIGUE', 'ANOREXIA', 'DIARRHEA', 'MUSCLE ACHE']",6,6,0,1840
TLR2,1,0,349,208,['DIARRHEA'],1,1,0,1388
ITGB2,0,0,348,481,['DIARRHEA'],1,1,0,1925
AHR,0,0,347,556,"['COUGHING', 'DIARRHEA']",2,2,1,2467
SMAD3,0,0,347,491,"['COUGHING UP BLOOD', 'HEADACHE', 'DIARRHEA']",3,3,0,2636
CCL3,1,0,345,315,['DIARRHEA'],1,1,0,1285
CD80,0,0,345,411,['DIARRHEA'],1,1,0,1799
PIK3R1,0,0,344,356,"['COUGH', 'FATIGUE', 'DIARRHEA', 'DIARRHEA']",4,3,0,1989
CX3CL1,0,0,342,327,"['HEADACHE', 'DIARRHEA']",2,2,1,1254
MSC,0,0,340,533,['DIARRHEA'],1,1,0,2671
APCS,0,0,338,398,['DIARRHEA'],1,1,0,2395
CD19,1,0,337,339,"['ABNORMAL LIVER ENZYMES', 'DIARRHEA']",2,2,0,1732
CSH1,0,0,337,491,['DIARRHEA'],1,1,0,2605
TRIM25,0,0,331,149,['DIARRHEA'],1,1,0,595
KITLG,0,0,330,325,['DIARRHEA'],1,1,0,2915
CD36,0,0,330,435,['DIARRHEA'],1,1,0,2284
RHOD,0,0,330,671,"['ANOREXIA', 'ANOREXIA', 'DIARRHEA']",3,2,1,3456
TAT,0,0,328,703,['DIARRHEA'],1,1,1,2926
IL9,1,0,327,308,"['DIARRHEA', 'DIARRHEA']",2,1,0,1817
ELANE,1,0,327,377,"['FATIGUE', 'DIARRHEA', 'FATIGUE', 'DIARRHEA']",4,2,1,1999
BIRC3,0,0,326,300,['DIARRHEA'],1,1,0,1131
UBC,0,0,325,422,['DIARRHEA'],1,1,0,1039
FOXP3,0,0,325,271,"['DIARRHEA', 'DIARRHEA', 'ABNORMAL LIVER ENZYMES', 'BREATHING DIFFICULTIES', 'DIARRHEA']",5,3,5,1831
ITGAX,1,0,324,286,['DIARRHEA'],1,1,0,1561
MDM2,0,0,323,1054,['DIARRHEA'],1,1,0,4363
RPSA,0,0,322,361,['DIARRHEA'],1,1,0,3054
PTPN6,0,0,322,377,['FATIGUE'],1,1,1,1738
CCL20,1,0,322,304,['DIARRHEA'],1,1,0,1248
IGF1,0,0,321,327,['FATIGUE'],1,1,1,2380
TF,0,0,321,375,['DIARRHEA'],1,1,0,2821
S100A9,0,0,320,412,['DIARRHEA'],1,1,0,2014
HDAC1,0,0,318,471,['DIARRHEA'],1,1,0,4440
NOD2,0,0,318,127,"['DIARRHEA', 'DIARRHEA']",2,1,0,3238
XK,0,0,318,693,"['COUGHING', 'FATIGUE']",2,2,2,2041
IFI27,0,0,315,627,['DIARRHEA'],1,1,0,3375
HLA-DRB1,0,0,315,731,['DIARRHEA'],1,1,0,1472
FYN,0,0,315,379,['DIARRHEA'],1,1,0,2216
CNR1,0,0,315,351,"['NAUSEA', 'DIARRHEA']",2,2,1,3736
CCK,0,0,312,453,"['NAUSEA', 'ANOREXIA', 'ANOREXIA', 'ANOREXIA', 'ANOREXIA', 'ANOREXIA']",6,2,27,2692
VWF,1,0,312,376,['DIARRHEA'],1,1,0,1607
HSPA8,0,0,311,384,['DIARRHEA'],1,1,0,1188
CD69,0,0,311,358,['DIARRHEA'],1,1,0,1339
IL3,0,0,311,363,['DIARRHEA'],1,1,0,1888
PPBP,0,0,311,293,['DIARRHEA'],1,1,0,1312
PHB,0,0,310,284,['DIARRHEA'],1,1,0,1245
KLK3,0,0,309,775,['DIARRHEA'],1,1,0,2156
NOTCH1,0,0,309,448,"['DECREASED BLOOD LEUKOCYTE NUMBER', 'DIARRHEA']",2,2,0,2816
AGER,0,0,309,413,['DIARRHEA'],1,1,0,1445
FGFR1,0,0,308,313,"['BREATHING DIFFICULTIES', 'BREATHING DIFFICULTIES', 'FATIGUE', 'FATIGUE', 'DIARRHEA', 'DIARRHEA']",6,3,3,5023
EIF2AK2,0,0,307,472,['DIARRHEA'],1,1,0,1454
IKBKG,0,0,307,466,['DIARRHEA'],1,1,0,1412
CBL,0,0,306,458,"['FATIGUE', 'ANOREXIA', 'DIARRHEA', 'DECREASED BLOOD LEUKOCYTE NUMBER', 'DIARRHEA']",5,4,0,1720
TFRC,0,0,306,450,"['FATIGUE', 'DIARRHEA']",2,2,1,2079
CD8A,1,0,306,501,"['DIARRHEA', 'DIARRHEA']",2,1,1,1380
NCAM1,1,0,305,395,['DIARRHEA'],1,1,0,1684
NR3C1,0,0,304,302,"['FATIGUE', 'DIARRHEA', 'DIARRHEA']",3,2,1,2284
IRF1,0,0,304,292,['DIARRHEA'],1,1,0,1394
CDK2,0,0,304,336,['DIARRHEA'],1,1,0,3378
BCL2,0,0,303,787,['DIARRHEA'],1,1,0,4482
